term,inpopular freq,popular freq
monto como,1,0
macle aã,1,0
cantar hice,1,0
ciudad a,1,0
el fucking,2,0
calle suena,1,0
ganar no,3,0
yo pues,1,0
debo que,1,0
cantar tendrã,1,0
para atrã,1,0
duden de,1,0
cla o,1,0
morralla que,1,0
diferente mente,1,0
para demostrar,3,0
maqueta antes,1,0
chaval ah,2,0
mi intro,1,0
tres maqueta,1,0
al lao,3,0
nunca va,3,0
fresh tres,1,0
nazaret,1,0
compruebo que,1,0
cantando y,1,0
kiken estudio,1,0
cada caja,2,0
contra cien,1,0
ganã is,1,0
vivir del,2,0
chaval si,1,0
calentamiento,2,0
a chaval,2,0
aloy y,2,0
cre,2,0
malva,1,1
hice mil,1,0
pensad,1,0
cien contra,1,0
mejide valencia,1,0
con dedos,1,0
vieron crecer,2,0
suela yo,1,0
sueno diferente,1,0
aã ora,1,0
si tanto,1,0
veros,2,0
sueno fresh,1,0
vieron cantar,1,0
ahã como,1,0
sabes del,1,0
el puerto,3,0
talento con,1,0
a chavala,1,0
vamos chaval,1,0
macle,1,0
pienso y,2,1
suena suena,1,0
cabaã,1,0
crees mejor,1,0
cierto no,1,0
aclame,1,0
ensaya,1,0
consiento que,1,0
is gracias,1,0
san marcelino,1,0
boca al,3,0
sigo pensando,1,0
ensaya calla,1,0
azotea kiken,1,0
probarã,1,0
valencia sabe,1,0
follo como,1,0
o o,5,0
valencia es,3,0
plata la,1,0
que suelo,1,0
mã soy,2,0
andamos,3,1
© cantar,1,0
2010 uhhh,1,0
caja y,2,0
yo parto,1,0
por pura,1,0
suelo joderos,1,0
verme cantar,1,0
circulaciã³n,1,0
me pudo,1,0
pues aãºn,1,0
kiken,1,0
ganã,1,0
haces tãº,1,0
la azotea,2,0
no ensaya,1,0
callar la,4,0
intro pata,1,0
pues pues,1,0
parar a,1,0
mestalla,1,0
machacar mi,1,0
bude jaja,1,0
me vieron,2,0
jajaja,1,0
a bajar,1,0
mejide,1,0
conocimiento por,1,0
y entiende,1,0
cantar sin,1,0
chavala ah,1,0
los monto,1,0
joderos al,1,0
pura necesidad,1,0
calentamiento que,1,0
siente como,1,0
hablar valencia,3,0
su talento,1,0
pata negra,2,0
no ay,2,0
mc que,5,2
tu calla,1,0
ora la,1,0
poder contar,2,0
follo pronto,1,0
marcelino y,1,0
no andamos,1,0
tanto hablã,1,0
vivir para,4,0
la cla,1,0
mariconadas,2,0
llame y,1,0
cla,1,0
chaval grabando,1,0
conciertos aquã,1,0
ay otro,2,0
vamos hablando,1,0
empezamos fuerte,1,0
ni mariconadas,1,0
escuela suena,1,0
veros cantando,1,0
pensad quien,1,0
con vivir,1,0
la malva,1,0
y contando,1,0
que vamos,2,0
s corralã³n,1,0
nazaret san,1,0
fucking dinero,1,0
uhhh,1,0
no consiento,1,0
as no,2,3
ahã de,1,0
suena calle,1,0
mã quien,1,0
miento o,1,0
si tã,1,0
duden,1,0
crees puedo,1,0
sigue soã,1,0
mariconadas como,1,0
calla pata,1,0
mi ciudad,4,0
callar hay,1,0
dedos el,1,0
siempre sueno,1,0
pena como,1,0
calles o,1,0
otro igual,3,0
que ganã,1,0
© cre,1,0
mil mc,1,0
consculluela dime,1,0
aparte no,2,0
crear escuela,1,0
lo parte,1,0
mã pensad,1,0
consiento,1,0
tus putas,1,0
risto,1,0
pudo callar,1,0
canciã³n tengo,1,0
mil conciertos,1,0
el calentamiento,2,0
el cabaã,1,0
flow diferente,1,0
bude,1,0
puerto segundo,1,0
chavala,1,0
cero igual,1,0
un honor,1,0
hacerlo difã,1,0
sacrificamos muchas,1,0
armas tengo,3,0
estoy sã³lo,2,0
malos para,1,0
canciã³n en,1,0
hemos pasado,2,0
juntos hemos,1,0
mundo casi,1,0
ve todo,1,0
sã mucho,3,0
casi imbã,1,0
luchar contigo,1,0
derrumbe seguimos,1,0
rascacielos desde,1,0
grimey y,1,0
empezamos sã³los,1,0
seguimos para,1,0
dolpor que,1,0
lo empezamos,1,0
movemos el,1,0
bazoca y,1,0
entiendas porque,1,0
vuestro dueã,1,0
conmigo para,1,0
porque salimos,1,0
os luchando,1,0
solo ten,1,0
cinco aã,1,0
pocos apostaron,1,0
tanto imbã,1,0
las ostias,1,1
con palos,2,0
vida grimey,1,0
llegamos hasta,1,0
sienta a,6,0
que queramos,1,0
salimos desde,1,0
estribillo tengo,3,0
estã matando,1,0
porque esta,4,0
elegimos nos,1,0
uno nuevo,1,0
al ego,1,0
contra gigantes,1,0
espero al,6,0
decirte todo,1,0
apostaron y,1,0
nosotros vuestro,1,0
y nosotros,2,0
importante y,1,0
empuja cada,6,0
que mucho,4,0
que nace,1,1
seguir y,3,1
ten presente,2,0
cil que,2,1
guerra que,1,0
mucho antes,8,0
nuevo tengo,1,0
nosotros movemos,1,0
se derrumbe,1,0
nos estã,1,1
a sobrevivir,6,0
sã³los,1,0
puedes entender,1,0
disparamos,1,0
es grimey,1,0
© conmigo,1,0
hemos aprendido,1,0
para hacerlo,3,1
maestro y,1,0
es vida,1,0
armas que,6,0
hasta aprendimos,1,0
derrumbe,1,0
me sienta,8,0
gigantes en,1,0
dolpor,1,0
nace un,1,0
tenemos bazoca,1,0
tengo lleno,1,0
entender de,1,0
conmigo luego,1,0
ego ya,1,0
as malos,2,0
primer puesto,1,0
pone para,1,0
entero que,1,1
elegimos que,1,0
aprendimos de,2,0
sobrevivir tengo,3,0
escribo otra,1,0
honor luchar,1,0
escribir sã,3,0
partiendo de,1,0
hablarã ©,2,0
un rascacielos,1,0
ceninero,1,0
paso siguiente,1,0
solo puedes,1,0
joda estoy,1,0
como disparamos,1,0
y hemos,1,0
pasado cinco,1,0
tienes otro,1,0
el dolpor,1,0
hablando porque,1,0
sentado frente,1,0
el ceninero,1,0
porque estos,1,0
para delante,1,0
apostaron,2,0
ayudan a,8,0
ahora tenemos,1,0
sobrevivir las,3,0
hecho no,1,0
seguir entero,1,0
sea tu,1,0
sã³los partiendo,1,0
todo fã,1,0
sã espero,3,0
dinero llegamos,1,0
sã³lo conmigo,2,0
hay maestro,1,0
estos es,1,0
porque mirando,1,0
lado para,1,0
para dar,5,2
mirando desde,1,0
bazoca,1,0
otra palabra,1,0
sacrificamos,1,0
presente que,1,0
estos dã,1,0
cielo sã,3,0
un agujero,2,0
aprendido lo,1,0
luchando con,2,0
me empuja,6,1
ostias,2,1
seguir cada,3,0
solo unos,2,0
ostias porque,1,0
pero nosotros,1,0
otro hermano,1,0
grimey que,1,0
para enmediar,3,0
moreni,1,0
mi aqui,1,0
caricias llenas,1,0
universo te,1,0
cascabeles cuidalo,1,0
esta galaxia,1,0
bouns estas,1,0
loveeeee solo,1,0
mujer y,2,0
galaxia por,1,0
penitas,1,0
bellos ojos,1,0
los cascabeles,1,0
estrellita que,1,0
hare,3,0
yiiii,2,0
alegras si,1,0
tu la,1,0
eso sera,1,0
esta esfe,1,0
le diste,1,0
te olvido,1,0
llamada mundo,1,0
y besitos,1,0
oportunity,1,0
quimica perfecta,1,0
mientras a,2,0
convertirte,3,0
siempre miro,1,0
te hare,1,0
pa tiiiii,1,0
yo quimica,1,0
alegras,1,0
acuerdes,1,0
bon sabes,1,0
mundo pa,1,0
momentos caricias,1,0
risas por,1,0
oportunity se,1,0
quiero envejecer,3,0
tu ojito,1,0
moreni mi,1,0
yiiii buenos,1,0
si miles,1,0
que estes,1,0
abrige de,1,0
dulce la,1,0
rotundo cambiaste,1,0
my loveeeee,1,0
el time,1,0
mi cuando,2,0
estes,1,0
abrige,1,0
besandote,1,0
hallo la,1,0
contigo quiero,3,0
esas que,1,0
verso eres,1,0
suene nena,1,0
que alumbra,1,0
estribillo f,3,0
vida cambiaron,3,0
amarte bon,1,0
por monton,1,0
tus penitas,1,0
teddy amarillo,1,0
una oportunidad,4,1
traa que,1,0
caricias y,1,0
yo borrar,1,0
honey mi,1,0
cambio rotundo,1,0
recta,1,0
esta recta,1,0
formula tus,1,0
envejecer dame,3,0
pasion el,1,0
prometo cuidar,1,0
me dabas,1,0
tu y,7,3
estes bien,1,0
un chance,3,0
estas presente,1,0
o esas,1,0
lova,1,0
mientras pasa,1,0
monton prometo,1,0
te enamora,1,0
sera que,3,0
o my,1,0
seas my,1,0
tus bellos,1,0
grima brota,1,0
cambiaste lo,1,0
y amistad,2,0
caramelo mi,1,0
enmediar todo,3,0
esperi,1,0
acuerdes de,1,0
love le,1,0
a my,1,0
my love,2,0
enmediar,3,0
recuerdos tu,1,0
haga por,1,0
loveeeee,1,0
morena tan,3,0
la esperi,1,0
besitos,1,0
o nena,1,0
corazon tener,1,0
cuando suene,1,0
ojito,1,0
tener mientras,1,0
prometo amor,1,0
my honey,1,0
alumbra mi,1,0
my lova,1,0
amistad van,1,0
hello my,1,0
mi cosa,1,0
sabes corazon,1,0
chance,3,0
cuidalo,1,0
labios tu,1,0
y amarte,1,0
alumbra,3,0
monton,1,0
ser contigo,3,0
me alegras,1,0
planes de,4,0
f,3,0
traa,1,0
oso teddy,1,0
ojos mujer,1,0
chance pa,3,0
momentos extraã,1,0
bueni,1,0
mi moreni,1,0
me hacian,1,0
cosa bueni,1,0
quimica,1,0
pa convertirte,3,0
time mas,1,0
ojito una,1,0
tu friend,1,0
tu amigo,4,0
pa traa,1,0
amarillo con,1,0
rita llamada,1,0
oportunidad para,3,1
bon bon,1,0
mi universo,3,0
deseos corazon,1,0
bouns no,1,0
tu mujer,1,0
olvido de,7,1
te acuerdes,1,0
enamora el,1,0
nena en,1,0
no hallo,1,0
tu cariã,2,0
bouns,3,0
te extraã,2,0
necesito aun,1,0
una oportunity,1,0
diste tu,1,0
hare felicity,1,0
convertirte en,3,0
tus recuerdos,3,0
esfe rita,1,0
morena eres,3,0
te abrige,1,0
cuidar respetar,1,0
los planes,4,0
cuello besandote,1,0
suba por,1,0
miro pa,2,0
teddy,1,0
brota prometo,1,0
esperi el,1,0
hacian sentir,1,0
penitas si,1,0
tiiiii,1,0
los bellos,1,0
friend yo,1,0
pasion,1,0
felicity mi,1,0
y risas,1,0
corazon tu,1,0
life my,1,0
hello,1,0
la estrellita,1,0
bueni espero,1,0
perfecta amor,1,0
felicity,1,0
cascabeles,1,0
mujer los,3,0
de pasion,1,0
cuidalo espero,1,0
honey,1,0
un yiiii,1,0
lova el,1,0
dabas tu,1,0
esfe,1,0
besitos y,1,0
cambiaron contigo,3,0
amargo por,1,0
bien mientras,1,0
bouns hello,1,0
mi caramelo,1,0
yiiii yiiii,1,0
rita,1,0
aqui me,2,0
hacian,1,1
besandote la,1,0
lo amargo,1,0
cambiaste,1,0
mi morena,6,0
borrar tus,1,0
os deseos,1,0
metros de,1,0
tu primer,1,0
vuelto tan,1,0
gano en,2,0
esperar nada,1,0
protector se,1,0
no teme,1,0
mi crisis,1,0
viven sugiriendo,1,0
la obligacion,1,0
pared por,2,0
apetece en,1,0
obligacion,2,1
piense,2,1
mientras todo,1,0
el concepto,1,1
o hoy,1,0
loro las,1,0
perder ahã,1,0
pagar facturas,1,0
hablando en,5,0
mi inspiraciã³n,1,0
no camino,1,0
pa mongolos,1,0
potã,2,0
fronteras se,1,0
la va,2,0
educaciã³n no,2,0
que escuchã,2,0
mejor como,1,0
sonrie,3,0
delira,1,0
consideran que,1,0
quedan fuerzas,6,0
puedo encerrar,1,0
corazã³n tiene,1,0
mundo falso,1,0
las des,1,0
cansao de,2,0
risa es,1,0
apetece brillar,2,0
que inculcan,1,0
sonrie porque,1,0
es carne,1,0
su niã,1,1
sin aviones,1,0
tristeza de,3,0
si predica,1,0
en pasta,1,0
joder ni,1,0
llevadero,1,0
parcialmente independiente,1,0
ultimamente,1,0
rtelo en,2,0
pa esto,2,0
lo normal,2,1
mayoria diria,1,0
ayer preguntaba,1,0
me inunda,1,0
l le,1,0
atrevo ni,1,0
independiente de,1,0
salvar ahora,1,0
se enfrã,1,0
muerte veo,1,0
locas hablando,1,0
cura con,1,0
hueco pa,1,0
sobre notas,1,0
comemos,1,0
existen motivos,1,1
hago las,1,0
lo dictamina,1,0
al acabar,1,0
filosofia de,1,0
analiza mã,2,0
nada estoy,2,0
notas musicales,1,0
lo consiguen,1,0
inculcan,1,0
inspiraciã³n ella,1,0
primer amor,1,0
pa escapar,1,0
en apostar,1,0
construir una,1,0
que quien,2,0
motivos nada,1,0
sample perfecto,1,0
piense con,1,0
importa morir,1,0
levantao con,2,0
todo esta,2,1
rien,2,0
una situacion,2,0
contigo son,2,0
dignidad de,1,0
llevadero pero,1,0
precio hablando,1,0
de objetivos,1,0
x2 sã,2,0
diria que,1,0
© comemos,1,0
pasta porque,1,0
ya este,1,0
problemas tengas,1,0
sugiriendo,1,0
gritar enciende,2,0
des de,2,1
morir es,1,0
no sã³lo,2,0
linea en,1,0
selectivo,1,0
predica,2,0
de valiente,1,0
dictamina,1,0
acabe ya,1,0
mi instinto,1,0
tres metros,1,0
miedos al,1,0
salen gemelos,1,0
analiza,2,0
esclavizo o,1,0
comemos maã,1,0
he levantao,2,0
scratches x2,1,0
mi mp3,1,0
dentro por,1,1
la subasta,1,0
congelo lo,1,0
me valen,1,1
empiece uno,1,0
delira sobre,1,0
esclavizo,1,0
normal y,1,0
su musica,1,0
lo pregunta,1,0
porque a,2,1
programas pa,1,0
vivo aquã,2,0
apostar en,1,0
quienes rien,1,0
pregunta lo,2,0
verdades mostrar,1,0
ego gano,1,0
no venzo,1,0
dudas pero,1,0
carne joder,1,0
venzo,1,0
dura menos,1,0
quieras mientras,1,0
de edades,1,0
disfruta lo,1,0
son tus,2,0
argumentos de,1,0
a quitar,1,0
joder supe,1,0
tengas pon,1,0
miran siempre,1,0
inunda,3,0
se volviã³,1,0
valen argumentos,1,0
derrumba cuando,2,0
encerrar tantos,1,0
potã rtelo,2,0
cruzan con,1,0
de cientos,3,0
inunda la,1,0
le vale,1,0
obstã culo,2,0
cacho si,1,0
no debe,1,0
musicales lo,1,0
afortunao por,1,0
y empiece,1,0
edades ultimamente,1,0
mayoria,2,0
es llevadero,1,0
quejo es,1,0
lo miran,1,0
sentirse en,1,0
ultimamente hago,1,0
persona sã,2,1
tu loro,2,0
otra pared,1,0
estas haciendo,1,0
encerrar,1,0
imitacion de,1,0
buscarme dentro,1,0
ejemplo quã,1,0
selectivo â,1,0
los programas,1,0
ahora hay,1,0
sala no,2,0
uno mejor,1,0
protector,1,0
tengo dudas,1,0
subasta,2,0
ahã se,1,0
que piense,1,1
en trozos,1,0
mostrar que,1,0
fuerzas para,1,0
inculcan es,1,0
sigue bien,1,0
que esperar,1,0
musicales,1,0
cientos que,2,0
para hablar,2,0
s mundo,1,0
asumiendo que,1,0
independiente,4,1
crisis no,1,0
la mayoria,2,0
la emborracho,1,0
con pasta,1,0
camino mirando,1,0
situacion,2,0
lo hiciera,1,0
enfrã a,1,0
doy miedo,1,0
nos vino,1,0
mismo disfruta,1,0
volviã³ selectivo,1,0
dictamina y,1,0
falso y,1,0
son verdades,2,0
las locas,1,0
esa filosofia,1,0
haciendo no,1,0
tiempo asumiendo,1,0
imitacion,1,0
generaciã³n que,2,0
l sã,1,1
levantao,2,0
libertad la,1,0
programas,1,0
dinero nos,1,0
asumiendo,1,0
sugiriendo que,1,0
obligacion es,1,0
papel afortunao,1,0
objetivos lo,1,0
vale tiene,1,0
vida dura,1,0
ven pasar,1,0
era pa,1,0
se cura,1,0
te esclavizo,1,0
teme a,1,0
nada nada,2,0
locos seguimos,1,0
pero consideran,1,0
derrumba,2,1
mãºsica mã,2,1
pon la,1,0
una imitacion,1,0
predica con,1,0
se derrumba,2,1
paces con,2,0
todos tiene,1,0
por obstã,1,0
concepto corazã³n,1,0
parcialmente,1,0
y potã,2,0
nadie analiza,2,0
ser parcialmente,1,0
perspectiva clara,2,0
clara ganas,2,0
momento en,2,0
rien contigo,1,0
mongolos y,1,0
correcto quiã,1,0
afortunao,1,0
debe sentirse,1,0
menos no,2,0
venzo mis,1,0
de papel,4,1
cuantos mã,1,0
mã desde,1,0
estamos aqui,1,0
quieren construir,1,0
â nadie,4,0
instinto protector,1,0
pregunta ã,1,0
hablar sino,1,0
escapar la,1,0
enfrã,1,0
una generaciã³n,1,4
acabar tu,1,0
musica y,1,0
emborracho de,1,0
les salen,1,0
valiente sã³lo,1,0
pasta pero,1,0
existencial â,1,0
de comerme,2,0
pero sonrie,1,0
es existencial,1,0
enciende la,4,0
filosofia,1,0
sino son,1,0
aviones ni,1,0
sale a,2,1
de ordenar,2,0
quitarles,1,0
existe sã,2,0
el modelo,1,0
vengan beberã,1,0
tu factura,1,0
sonrisas de,2,0
letra pequeã,1,0
su calor,1,0
acabar no,2,0
ombligo de,1,0
nuestra mãºsica,3,1
sucede quiã,1,0
follar dormir,1,0
a modo,1,0
no expreso,1,0
con lenguaje,1,0
asã das,1,0
gracia los,2,0
atos me,2,0
iglesia dejã,1,0
recoge tu,2,0
que quitarles,1,0
y fã³llate,1,0
veo reflejã,1,0
tienes muchos,1,0
factura la,1,0
quiero tienes,1,0
duelen exageran,1,0
perder no,6,0
y sale,2,0
ganar todo,2,0
testigo de,6,0
bien men,1,0
rendirse si,2,0
ganar poco,1,0
reflejã,1,0
logo,4,0
rate a,4,0
virulã ©,1,0
venda a,1,0
muchos dados,1,0
ven hay,1,0
condon como,1,0
que ganar,5,0
ordenar este,1,0
ven ojos,1,0
en parar,1,0
logo del,1,0
sabes tirar,1,0
mi sexo,1,0
flyer pa,1,0
digas lo,1,0
anuncios,1,0
de testigo,1,0
cerebro a,1,0
ojos duelen,1,0
sale cero,1,0
lo cobran,1,0
su contrato,1,0
nos dieron,2,1
estar guapos,1,0
sexo elijo,1,0
la virulã,1,0
verdad entrando,2,0
a tirar,1,0
basura aseguran,1,0
dije pero,2,0
en sonrisas,1,0
cobran en,1,0
agradar,2,0
kaos mental,1,0
cama es,2,0
quitarles la,1,0
vez perder,2,0
pa quien,4,0
contar cuando,1,0
esteticien,1,0
les ven,1,0
quieres no,3,0
pa follar,1,0
o quizã,2,1
fea la,1,0
calle sã,1,0
sã³lo adjetivo,1,0
fã³llate,1,0
dormir y,1,2
ordenar,2,0
carne tela,1,0
que calles,1,0
facetas,1,0
quieren estar,2,0
catã logo,1,0
exceso con,1,0
adjetivo pa,1,0
este kaos,1,0
de foco,1,0
tu testigo,1,0
guste y,1,0
n verdad,1,0
modo de,2,0
el ombligo,1,1
pensar la,1,0
lo dije,4,0
tienen gracia,2,0
exageran como,1,0
del catã,1,0
pierde hasta,2,0
de pc,1,0
sã rendirse,2,0
tela y,1,0
vivir bien,1,0
mã³vil que,2,0
corte inglã,1,1
mis besos,1,0
pã rate,3,1
corporal,1,0
perder mi,1,0
foco me,1,0
lenguaje corporal,1,0
pc debo,1,0
reflejã s,1,0
tu iglesia,1,0
vivo o,3,0
agradar para,1,0
facetas en,1,0
calor vivo,1,0
ganar este,2,0
fã³llate a,1,0
dados pero,1,0
pero intentarã,2,0
modelo del,1,0
mi escritorio,1,0
justicia nunca,1,0
condon,1,0
pa agradar,1,0
un flyer,1,0
virgen de,2,0
como anuncios,1,0
parar pã,1,0
mis facetas,1,0
n recoge,1,0
beberã,2,0
sol me,1,0
canse mi,2,0
expreso en,1,0
alumbra a,1,0
descansar levanta,1,0
elijo pa,1,0
del corte,1,0
eso carne,1,0
guapos pa,1,0
kaos,1,0
me digas,1,0
quien van,1,0
lo viene,1,0
parece mã,1,0
como ofrenda,1,0
expreso,1,0
mental en,3,0
un condon,1,0
virulã,1,0
hazte esteticien,1,0
quien les,1,0
elijo,3,0
quien quiero,1,0
te sucede,1,0
escritorio de,1,0
acaba hasta,2,0
me alumbra,1,0
hueso no,1,0
corporal mis,1,0
men dime,1,0
dan lo,1,0
anuncios de,1,0
exageran,1,0
y descansar,1,0
adjetivo,1,0
no pienses,1,2
beberã n,1,0
recoge,3,0
esteticien todos,1,0
quieres vivir,1,0
cosas pa,1,0
tradiciã³n misma,1,0
todo vinculao,1,0
de conversaciã³n,1,0
titula,1,0
noticia son,1,0
la portada,1,0
a mejor,1,0
postureo delante,1,0
sala en,1,0
rense a,1,0
se titula,1,0
crema no,1,0
se enriquecen,1,0
ha pasao,1,0
mejor empresas,1,0
parao pero,3,0
delante algunos,1,0
no duran,3,0
local,6,0
vino pa,1,0
valiente porque,1,0
malo si,1,0
conversaciã³n de,1,0
profesor,1,0
esta secciã³n,1,0
local sevilla,1,0
religiã³n la,1,0
mucho parao,3,0
sino abre,1,0
rense,1,0
o sino,1,0
te rocen,1,0
secciã³n corazã³n,1,0
el perfil,1,0
medio pasta,1,0
grande la,4,0
su periã³dico,1,0
la unta,1,0
empresas se,1,0
toca joder,3,0
desquician â,6,0
pueblo grande,1,0
aflora pa,1,0
la conversaciã³n,1,0
renuevan,1,0
intentan venderte,1,0
una zona,1,0
macabro,1,0
concepto naciã³n,1,0
macabro miro,1,0
trabajador â,1,0
renuevan al,1,0
santa no,1,0
en crema,1,0
monta bolos,1,0
haciendo si,1,0
vinculao a,1,0
cã³mo juras,1,0
visiã³n tan,1,0
importante se,1,0
cuento yo,2,0
joder estã,3,0
al director,1,0
vinculao,1,0
la moto,4,0
conforman,3,0
nacional internacional,1,0
por medio,1,0
padecer,3,0
estafando al,1,0
n haciendo,1,0
respetas que,1,0
tenemos del,1,0
gobierno te,1,0
cuento se,1,0
moto el,1,0
llevarã en,1,0
ticos como,1,0
opiniã³n esta,1,0
razã³n a,1,0
algunos intentan,1,0
hecho vivir,1,0
ganaba,1,0
que desquician,6,0
el postureo,1,0
pasatiempo,1,0
marcaba hoy,1,0
matao siento,1,0
antes ganaba,1,0
olvidaba,1,0
marcaba,1,0
incentivo y,3,0
tus ã³rganos,1,0
ingenio aflora,1,0
una sala,1,0
me olvidaba,1,0
pa comprar,1,0
no mencionã,1,0
poli que,1,0
si tus,3,0
un incentivo,3,0
malas noticias,6,0
menuda,5,0
estafa el,2,0
hazte de,1,0
telediario,1,0
actualidad â,1,0
envidia va,1,0
noticias que,6,0
haya gente,2,0
tãº esta,1,0
naciã³n â,1,0
cultura tãº,1,0
profesor y,1,0
estafando,1,0
matanza tã,1,0
del telediario,1,0
los manejan,3,0
peor donde,1,0
sucesos el,1,0
los titulares,1,0
vista monta,1,0
vez peor,1,1
cura toma,1,0
ser poli,1,0
aflora,2,0
costa del,1,0
del concepto,1,0
telediario de,1,0
trabajador,1,0
banco ya,1,0
secciã³n,3,0
mujeres de,1,0
salud invierte,1,0
al trabajador,1,0
dar promociã³n,1,0
que marcaba,1,0
internacional que,1,0
titulares es,1,0
unta si,1,0
toca padecer,3,0
canciones nuevas,1,0
invierte en,1,0
tan absurda,1,0
mundo cada,1,0
son mã,3,0
venderte la,2,0
actualidad,1,0
s valiente,1,0
interesante satisfacen,1,0
deporte antes,1,0
enchufao,1,0
juras amor,1,0
la disco,2,0
mejor lo,1,1
internacional,1,0
saltas,1,0
olvidaba carta,1,0
maestranza,1,0
contrato acabas,1,0
demandante,1,0
contactos que,1,0
absurda que,1,0
rocen en,1,0
una bandera,1,0
bolos y,1,0
cumples,1,0
grada mercenario,1,0
menos peligroso,1,0
hay luz,2,0
toma vino,1,0
agenda,2,0
titula historias,1,0
bus en,1,0
se llevarã,1,0
saco canciones,1,0
mierda menuda,1,0
mejor noticia,1,0
encima metemos,1,0
tica mentiras,1,0
ã³rganos no,1,0
y esconde,1,0
como mira,3,0
a seguro,1,0
pa creerse,1,0
esta te,1,0
venderte,2,0
conforman tã,3,0
venganza pa,1,0
una secta,2,0
secta el,1,0
menudo estã,1,0
empleo los,3,0
lã e,1,0
enriquecen estafando,1,0
juras,1,0
enlatadas,1,0
secciã³n es,1,0
sevilla el,1,0
lo abro,2,0
mercancia a,1,0
invierte,1,0
padecer poco,3,0
corazã³n del,2,0
y hazte,1,0
mercenario mercancia,1,0
saltas prefieres,1,0
nuevas le,1,0
carta al,1,0
mencionã,1,0
creerse lo,1,0
en semana,1,0
en cura,1,0
pensada para,1,0
disco eres,1,0
vayan con,1,0
matanza,1,0
prefieres la,1,1
acabas matao,1,0
falso mejor,1,0
tã quã,1,0
tu pantalla,1,0
estribillo malas,3,0
manejan se,3,0
cumples contrato,1,0
cantando a,1,0
ganaba el,1,0
da a,1,0
tã rense,1,0
metemos publicidad,1,0
mentira todo,1,0
quieres dinero,1,0
director,3,0
se conforman,3,0
menos importante,1,0
periã³dico y,1,0
enlatadas tradiciã³n,1,0
ignorante del,1,0
la maestranza,1,0
menuda matanza,1,0
que visiã³n,1,0
la saltas,1,0
mercancia,2,0
como venganza,1,0
muy falso,1,0
mentiras enlatadas,1,0
parao,3,0
compra venta,1,0
director su,1,0
estoy cantando,1,0
abre una,2,0
pasta pa,3,0
venta el,1,0
peligroso ser,1,0
reos,3,0
artista cumples,1,0
la secciã³n,1,0
mencionã ©,1,0
matao,1,0
el pasatiempo,1,0
siento decir,1,0
incentivo,3,0
portada si,1,0
agenda nunca,1,0
pero dale,3,0
satisfacen,1,0
enriquecen,1,0
que profesor,1,0
le toca,8,0
poco contento,3,0
pasao nada,1,0
que renuevan,1,0
jefe quiere,1,0
al enchufao,1,0
e en,2,0
de polã,3,0
perfil ignorante,1,0
el lao,3,0
ã³rganos,1,0
publicidad sabemos,1,0
nunca nada,1,0
zona a,1,0
periã³dico es,1,0
mundo macabro,1,0
paraos pero,3,0
semana santa,1,0
del demandante,1,0
satisfacen el,1,0
rocen,1,0
excluya,1,0
siguiente en,1,0
imaginaciã³n clon,1,0
respetarã ©,1,0
terminã³ el,1,0
arpã as,1,0
del futuro,2,1
mas son,2,0
cine independiente,1,0
plan patã,1,0
pretendes que,1,1
flote cuando,1,0
corrientes,1,0
â resultao,1,0
reparar,1,0
pensar les,1,0
motos â,1,0
respetarã,1,0
que consiguiã³,1,0
junto con,2,0
dura y,2,0
con clon,1,0
rayamos,1,0
me equivoco,3,0
nunca jugamos,1,0
falsa locura,2,0
verdad sabes,1,0
compartiendo,3,0
guiris,4,0
n tan,1,0
entiende ni,1,0
gusta hablar,1,0
finde de,1,0
te habla,1,0
ahogo,3,0
imagino que,1,0
la delata,1,0
un capullo,1,0
repetitiva,2,0
clon aquã,1,0
paã ses,1,0
ãºnico libre,1,0
ses de,1,0
de marte,2,0
tribus,1,0
sedãºcela con,1,0
cuando viene,1,0
compartiendo la,1,0
contarlos,2,0
memorizã,1,0
pareao vergã¼enza,1,0
pseudo cultura,2,0
sociedad me,1,0
urbanas subsistemas,1,0
un desconocio,1,0
separao,1,0
panda ã,1,0
sentiros corrientes,1,0
ahã estamos,1,0
pero sabe,1,0
quieres amor,1,0
tq,1,0
habla un,2,0
doblã³ la,1,0
sepan si,1,0
mirã ndolos,1,0
actitud la,1,0
tener amigos,1,0
dependã,1,0
moda en,1,0
arpã,1,1
independiente y,1,0
ignorante y,1,0
ndose de,1,0
perdã o,3,0
in cultura,4,0
camino mirã,1,0
cambiarse el,1,0
predicciã³n,1,0
tan iguales,2,0
coco tambiã,2,0
sus pintas,1,0
sedãºcela,1,0
cara igual,2,0
sabe reparar,1,0
y dependã,1,0
marte,3,0
que citas,1,0
doblã³,1,0
es beber,1,0
a contarlos,2,0
guay es,3,0
que libre,2,0
por carecer,1,0
mayor de,3,0
necesitais ahã,1,0
te excluya,1,0
prensa rosa,1,0
fondos de,1,0
moda mã,1,0
subsistemas englobaos,1,0
ya coge,1,0
con labia,1,0
con h,2,0
separao que,1,0
aham,1,0
ecuaciã³n ignorante,1,0
mi predicciã³n,1,0
fila y,2,0
videojuego pa,1,0
perfil mira,1,0
idiotez sale,1,0
a flote,2,0
desconocio y,1,0
ecuaciã³n,1,0
cambiarse,1,0
delata,1,0
te timã³,1,0
l quã,1,0
cultura al,2,0
escribe junto,1,0
â cual,1,0
de reir,1,0
la patata,3,0
is ciudadanos,1,0
privilegio,1,0
marchosa te,1,0
light,2,0
